MCC,MNC,LAC,CI,Timestamp,Latitude,Longitude,HorizontalAccuracy,Altitude,VerticalAccuracy,Speed,Course,Confidence,Timestamp (GMT/UTC),Timestamp (EDT)
310,410,7985,160043533,361306881.8,38.87767624,-77.11546951,3962,0,-1,-1,-1,70,"Wednesday, June 13, 2012 7:01:21 PM","Wednesday, June 13, 2012 3:01:21 PM GMT-04:00"
310,410,7985,158138900,361306881.8,38.8778367,-77.11447036,2243,0,-1,-1,-1,60,"Wednesday, June 13, 2012 7:01:21 PM","Wednesday, June 13, 2012 3:01:21 PM GMT-04:00"
310,410,7985,160093723,361306881.8,38.87595677,-77.11500936,2436,0,-1,-1,-1,60,"Wednesday, June 13, 2012 7:01:21 PM","Wednesday, June 13, 2012 3:01:21 PM GMT-04:00"
310,410,7988,193465818,361306881.8,38.87869298,-77.11703056,1718,0,-1,-1,-1,50,"Wednesday, June 13, 2012 7:01:21 PM","Wednesday, June 13, 2012 3:01:21 PM GMT-04:00"
310,410,7985,160381399,361306881.8,38.87763071,-77.1184743,2144,0,-1,-1,-1,60,"Wednesday, June 13, 2012 7:01:21 PM","Wednesday, June 13, 2012 3:01:21 PM GMT-04:00"
310,410,7985,158442034,361306881.8,38.87531292,-77.11478477,1532,0,-1,-1,-1,50,"Wednesday, June 13, 2012 7:01:21 PM","Wednesday, June 13, 2012 3:01:21 PM GMT-04:00"
310,410,7985,194233901,361306881.8,38.87516754,-77.11518323,1900,0,-1,-1,-1,50,"Wednesday, June 13, 2012 7:01:21 PM","Wednesday, June 13, 2012 3:01:21 PM GMT-04:00"
310,410,7985,193781548,361306881.8,38.87724441,-77.11911594,2166,0,-1,-1,-1,50,"Wednesday, June 13, 2012 7:01:21 PM","Wednesday, June 13, 2012 3:01:21 PM GMT-04:00"
310,410,7985,160395633,361306881.8,38.87675511,-77.11932128,1976,0,-1,-1,-1,60,"Wednesday, June 13, 2012 7:01:21 PM","Wednesday, June 13, 2012 3:01:21 PM GMT-04:00"
310,410,7985,158459194,361306881.8,38.87981969,-77.11490958,1414,0,-1,-1,-1,50,"Wednesday, June 13, 2012 7:01:21 PM","Wednesday, June 13, 2012 3:01:21 PM GMT-04:00"
310,410,7985,158439149,361306881.8,38.87981969,-77.11478477,1414,0,-1,-1,-1,50,"Wednesday, June 13, 2012 7:01:21 PM","Wednesday, June 13, 2012 3:01:21 PM GMT-04:00"
310,410,7985,160395640,361306881.8,38.87493735,-77.11815351,2395,0,-1,-1,-1,50,"Wednesday, June 13, 2012 7:01:21 PM","Wednesday, June 13, 2012 3:01:21 PM GMT-04:00"
310,410,7985,160050726,361306881.8,38.87531292,-77.11341238,2118,0,-1,-1,-1,50,"Wednesday, June 13, 2012 7:01:21 PM","Wednesday, June 13, 2012 3:01:21 PM GMT-04:00"
310,410,7985,160375173,361306881.8,38.87818086,-77.11958265,1465,0,-1,-1,-1,50,"Wednesday, June 13, 2012 7:01:21 PM","Wednesday, June 13, 2012 3:01:21 PM GMT-04:00"
310,410,7985,193959431,361306881.8,38.87441158,-77.11770433,1686,0,-1,-1,-1,50,"Wednesday, June 13, 2012 7:01:21 PM","Wednesday, June 13, 2012 3:01:21 PM GMT-04:00"
310,410,7985,158149432,361306881.8,38.87441158,-77.11411106,1686,0,-1,-1,-1,50,"Wednesday, June 13, 2012 7:01:21 PM","Wednesday, June 13, 2012 3:01:21 PM GMT-04:00"
310,410,7985,159994310,361306881.8,38.87402528,-77.11654937,2520,0,-1,-1,-1,50,"Wednesday, June 13, 2012 7:01:21 PM","Wednesday, June 13, 2012 3:01:21 PM GMT-04:00"
310,410,7985,194183751,361306881.8,38.87582403,-77.1198436,3231,0,-1,-1,-1,60,"Wednesday, June 13, 2012 7:01:21 PM","Wednesday, June 13, 2012 3:01:21 PM GMT-04:00"
310,410,7985,158191099,361306881.8,38.87981969,-77.11341238,1414,0,-1,-1,-1,50,"Wednesday, June 13, 2012 7:01:21 PM","Wednesday, June 13, 2012 3:01:21 PM GMT-04:00"
310,410,7985,193841755,361306881.8,38.87441158,-77.11381161,2538,0,-1,-1,-1,50,"Wednesday, June 13, 2012 7:01:21 PM","Wednesday, June 13, 2012 3:01:21 PM GMT-04:00"
310,410,7985,160565013,361306881.8,38.87756633,-77.12039929,2986,0,-1,-1,-1,50,"Wednesday, June 13, 2012 7:01:21 PM","Wednesday, June 13, 2012 3:01:21 PM GMT-04:00"
310,410,7985,160490739,361306881.8,38.87493735,-77.1192764,2407,0,-1,-1,-1,50,"Wednesday, June 13, 2012 7:01:21 PM","Wednesday, June 13, 2012 3:01:21 PM GMT-04:00"
310,410,7985,158531733,361306881.8,38.88061499,-77.11643612,2892,0,-1,-1,-1,60,"Wednesday, June 13, 2012 7:01:21 PM","Wednesday, June 13, 2012 3:01:21 PM GMT-04:00"
310,410,7985,193792084,361306881.8,38.87981969,-77.1130014,1414,0,-1,-1,-1,50,"Wednesday, June 13, 2012 7:01:21 PM","Wednesday, June 13, 2012 3:01:21 PM GMT-04:00"
310,410,7985,193490997,361306881.8,38.87606406,-77.12039929,1869,0,-1,-1,-1,50,"Wednesday, June 13, 2012 7:01:21 PM","Wednesday, June 13, 2012 3:01:21 PM GMT-04:00"
310,410,7985,160372251,361306881.8,38.88079708,-77.11650294,2015,0,-1,-1,-1,60,"Wednesday, June 13, 2012 7:01:21 PM","Wednesday, June 13, 2012 3:01:21 PM GMT-04:00"
310,410,7985,194191615,361306881.8,38.87438052,-77.11311984,4099,0,-1,-1,-1,60,"Wednesday, June 13, 2012 7:01:21 PM","Wednesday, June 13, 2012 3:01:21 PM GMT-04:00"
310,410,7985,159936169,361306881.8,38.87358975,-77.11445456,2353,0,-1,-1,-1,60,"Wednesday, June 13, 2012 7:01:21 PM","Wednesday, June 13, 2012 3:01:21 PM GMT-04:00"
310,410,7985,158479841,361306881.8,38.87981969,-77.11231446,1414,0,-1,-1,-1,50,"Wednesday, June 13, 2012 7:01:21 PM","Wednesday, June 13, 2012 3:01:21 PM GMT-04:00"
310,410,7988,159122612,361306881.8,38.87812966,-77.11113542,5535,0,-1,-1,-1,50,"Wednesday, June 13, 2012 7:01:21 PM","Wednesday, June 13, 2012 3:01:21 PM GMT-04:00"
310,410,7985,193337742,361306881.8,38.88027036,-77.11276358,1819,0,-1,-1,-1,50,"Wednesday, June 13, 2012 7:01:21 PM","Wednesday, June 13, 2012 3:01:21 PM GMT-04:00"
310,410,7985,160614382,361306881.8,38.88110733,-77.11783266,3152,0,-1,-1,-1,50,"Wednesday, June 13, 2012 7:01:21 PM","Wednesday, June 13, 2012 3:01:21 PM GMT-04:00"
310,410,7985,193491849,361306881.8,38.87367409,-77.11345773,2421,0,-1,-1,-1,50,"Wednesday, June 13, 2012 7:01:21 PM","Wednesday, June 13, 2012 3:01:21 PM GMT-04:00"
310,410,7985,194277868,361306881.8,38.8814103,-77.11617189,4620,0,-1,-1,-1,50,"Wednesday, June 13, 2012 7:01:21 PM","Wednesday, June 13, 2012 3:01:21 PM GMT-04:00"
310,410,7971,158474599,361306881.8,38.87981969,-77.12039929,1414,0,-1,-1,-1,50,"Wednesday, June 13, 2012 7:01:21 PM","Wednesday, June 13, 2012 3:01:21 PM GMT-04:00"
310,410,7985,158401165,361306881.8,38.87981969,-77.12039929,1439,0,-1,-1,-1,50,"Wednesday, June 13, 2012 7:01:21 PM","Wednesday, June 13, 2012 3:01:21 PM GMT-04:00"
310,410,7985,194183757,361306881.8,38.87351024,-77.11306303,3113,0,-1,-1,-1,70,"Wednesday, June 13, 2012 7:01:21 PM","Wednesday, June 13, 2012 3:01:21 PM GMT-04:00"
310,410,7985,186850227,361306881.8,38.87981969,-77.1114161,1414,0,-1,-1,-1,50,"Wednesday, June 13, 2012 7:01:21 PM","Wednesday, June 13, 2012 3:01:21 PM GMT-04:00"
310,410,7997,158494506,361306881.8,38.87981969,-77.1114161,1414,0,-1,-1,-1,70,"Wednesday, June 13, 2012 7:01:21 PM","Wednesday, June 13, 2012 3:01:21 PM GMT-04:00"
310,410,7985,186852236,361306881.8,38.87981969,-77.1114161,1414,0,-1,-1,-1,50,"Wednesday, June 13, 2012 7:01:21 PM","Wednesday, June 13, 2012 3:01:21 PM GMT-04:00"
310,410,7985,18573,361306881.8,38.87981969,-77.1114161,1414,0,-1,-1,-1,50,"Wednesday, June 13, 2012 7:01:21 PM","Wednesday, June 13, 2012 3:01:21 PM GMT-04:00"
310,410,7985,159986880,362938763.5,38.88092339,-77.11709934,2185,0,-1,-1,-1,50,"Monday, July 2, 2012 4:19:23 PM","Monday, July 2, 2012 12:19:23 PM GMT-04:00"
310,410,7985,158339570,362938763.5,38.87666493,-77.11321276,2129,0,-1,-1,-1,50,"Monday, July 2, 2012 4:19:23 PM","Monday, July 2, 2012 12:19:23 PM GMT-04:00"
310,410,7985,160633224,362938763.5,38.87853205,-77.11056059,2532,0,-1,-1,-1,50,"Monday, July 2, 2012 4:19:23 PM","Monday, July 2, 2012 12:19:23 PM GMT-04:00"
310,410,7985,160424085,362938763.5,38.88137972,-77.11754882,2069,0,-1,-1,-1,70,"Monday, July 2, 2012 4:19:23 PM","Monday, July 2, 2012 12:19:23 PM GMT-04:00"
310,410,7985,158224509,362938763.5,38.88175117,-77.11077445,2013,0,-1,-1,-1,50,"Monday, July 2, 2012 4:19:23 PM","Monday, July 2, 2012 12:19:23 PM GMT-04:00"
310,410,7985,158484627,362938763.5,38.88240307,-77.11157584,1414,0,-1,-1,-1,70,"Monday, July 2, 2012 4:19:23 PM","Monday, July 2, 2012 12:19:23 PM GMT-04:00"
