ROWID,MinimumLatitude,MaximumLatitude,MinimumLongitude,MaximumLongitude
1,38.8913879394531,38.9183387756348,-77.0656890869141,-77.0310592651367
2,38.8772201538086,38.9041709899902,-77.0407333374023,-77.0061111450195
3,38.8772201538086,38.9041709899902,-77.0407333374023,-77.0061111450195
4,38.8773612976074,38.9043121337891,-77.0406875610352,-77.0060577392578
5,38.8773612976074,38.9043121337891,-77.0401763916016,-77.0055465698242
6,38.8782730102539,38.9052238464355,-77.040771484375,-77.0061492919922
7,38.8782730102539,38.9052238464355,-77.040771484375,-77.0061492919922
8,38.8778533935547,38.9048004150391,-77.0405654907227,-77.0059432983398
9,38.8778343200684,38.90478515625,-77.0398483276367,-77.0052261352539
10,38.8773880004883,38.9043350219727,-77.0394668579102,-77.0048446655273
11,38.8772506713867,38.9042015075684,-77.0391311645508,-77.004508972168
12,38.8774185180664,38.9043655395508,-77.0389404296875,-77.0043182373047
13,38.8152885437012,38.8422393798828,-77.1032333374023,-77.0686416625977
